"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"ACOT11",458.949315854827,-3.93474838333443,0.473891016408141,-8.30306599428254,1.01458481298177e-16,1.00105269901156e-15,8.68752092094594,8.66664079393987,5.83273364290389,9.60716302715363,6.32551085168172,10.2381498093079,6.1400356963353,8.29738308250107,6.47216356009643,6.67970342825259
"ACOT4",252.062968817674,-3.30484840176673,0.617715374771579,-5.35011517721866,8.78982721070865e-08,3.18788455324341e-07,8.1604322144398,8.7423424707162,4.35960274556623,8.14510621419681,6.3648799062095,8.16254898735039,6.68308882722592,8.54991932551415,5.9890766558214,5.68552552063835
"ACOT8",2533.46572893457,-1.35102472697465,0.204690771873315,-6.60032064274405,4.10269464417181e-11,2.21634388167507e-10,11.9460377130482,11.7579417451271,10.652183915778,12.0140953619796,10.4702906060443,11.2506329544754,10.5221665918269,11.4614511617943,10.601639184267,10.700494733571
"ACOX2",390.304764668743,-2.84550749019692,0.600176175950734,-4.74112036468188,2.12539610939605e-06,6.44581193553791e-06,8.64292123719517,8.61271346486274,6.86151000115734,8.03245905014056,7.50697264271073,10.2447611045982,6.52732127729124,7.86650030961749,6.99860479248224,6.07658880993765
"ACRBP",192.848511160651,1.92754260714296,0.289436038875317,6.65964962287678,2.74481146486414e-11,1.51292442275452e-10,6.70617138038118,6.86512634983653,8.05429054237881,6.80090710640163,7.86800848572156,6.59684260936412,7.52139961631147,6.35235948673188,8.0666456814506,8.20126103545107
"ACSBG1",7485.75211999445,-4.30707631759003,0.615263518456653,-7.00037656774132,2.55275446524075e-12,1.57935721436924e-11,13.1032633081802,12.930197756928,9.68023717123103,12.5893604741149,10.3664021191865,14.7884148678927,8.17259381864989,11.584038153648,9.99466869134779,9.86523832925739
"ACSBG2",82.3160116795034,2.37552276737916,0.535210273799925,4.43848499116665,9.05943004350559e-06,2.51242776506978e-05,4.8659514343502,5.41819294363963,6.88013911405047,5.38300323301238,6.52174005477985,4.99041000364659,6.4708731749369,5.92369291931651,6.63981808635284,6.52455029611788
"ACSF2",971.786525673715,-2.30327995987918,0.513772088039316,-4.48307725059389,7.35742794665394e-06,2.06936862803741e-05,9.81671589618137,9.99977905048928,9.0475882612224,10.0119410872003,8.61864403207061,11.5736332805883,7.6773794996359,9.27447082336381,8.72096755797921,8.22752578258392
"ACSL5",796.106162677756,-1.74571525725747,0.413936305946805,-4.21735236116691,2.47187557692068e-05,6.44262783121556e-05,10.2192738941248,9.28925044373748,8.3326784626237,9.48877683840857,8.39947654586599,10.9616429721357,8.77882944755182,9.55000135677004,9.11009511671117,8.55537394338635
"ACSL6",6660.55983934773,-2.25211351660729,0.366715280482244,-6.14131353797333,8.18418574815637e-10,3.79645052061943e-09,13.4311125942922,12.8460349794487,10.0932894352298,13.3157611960961,11.4915535485915,12.9935198978144,11.9046683822803,13.5255202388256,11.5694128670365,10.9547729651759
