"","SRR1554534","SRR1554535","SRR1554568","SRR1554561","SRR1554567","SRR1554536","SRR1554541","SRR1554539","SRR1554538","SRR1554537"
"RBM28",11.3630572498932,11.1942599544146,11.981172928267,11.2930789638327,11.6975912840362,11.2993053774033,11.7515385083984,11.1465230715755,11.944154305601,11.8703417037081
"LARP1B",11.037475314422,11.4405744714686,11.7022590407839,10.8153197411086,11.9121355830695,11.1203786574757,11.7874011265393,11.8153903911792,11.6620530576538,11.6690917472057
"SRBD1",9.14662368615416,9.81521463580036,10.8655829039616,8.8528232039934,10.7319009565852,10.4326225436066,10.4343847773888,9.75928811615813,10.5546093062873,10.41625200823
"WRAP53",9.74294329870916,9.57333795104526,10.6752685209988,9.54450009493461,10.6700287732377,9.73889454802255,10.2204716215412,9.48071089778931,10.7025981904751,10.7307361505586
"FIGN",8.70228922000379,8.09353757507415,9.39955281067736,9.55193845837725,9.26269662499786,9.27863918967913,7.97890172908751,9.50087349288335,10.1003509683509,9.2091508419031
"FAM90A1",7.89453212337292,7.02596242884553,7.43960523522754,8.64846556015991,7.3036822579852,7.30275850949959,7.79272262910302,8.36872114175914,7.51825683864342,7.68313486899971
"ANKZF1",12.2968734320962,12.3176724545659,13.3463641341438,12.3669640113621,12.9806764419501,12.0519585440106,12.5902090994125,11.9574858331977,12.9028556231057,13.0175373755971
"ELP3",12.9204531326312,12.8055721137744,12.4281227958623,12.7539813715288,12.6085919978658,12.3969626728175,12.6812023274996,12.8367117374095,12.5482301218401,12.6175983850177
"HAUS2",11.1313102402813,11.5316523259549,12.0178400114383,10.9282389171435,11.2896065112035,11.3185320862046,12.1500238641242,11.5320601933396,12.0020770115615,11.9463931740739
"CDCA8",7.70280609392239,7.79499302247098,10.7788657776843,7.65415884045985,9.75677240176502,7.70109683104211,7.77738123818391,7.65220546138473,10.1018773954154,10.1286839039162
"LRRC8D",12.1909264205658,13.0531084961067,12.289159624857,11.9868767107073,12.6046835794181,11.9091422671179,12.657975596037,12.7068945604314,12.3404845236088,12.5395076775478
"THAP1",10.1126477727988,10.4585290334014,10.5991128223661,9.98934648625432,10.8036018795989,10.7133438710702,10.8020235464549,10.0470100675936,10.6763898335715,10.9501679570411
"ZDHHC4",11.761938997683,11.8592233061048,11.3421124314935,11.726870437941,11.2173037987113,11.8888135447311,11.1361307542455,11.6425070774957,11.2710575386284,11.1655301970349
"RBM23",12.8350006821862,12.7604429750817,12.8357276311376,12.9521973913636,12.9755879508157,12.7431458499277,12.46100132337,12.7399679994676,12.9434447646312,12.7898633643704
"UBR7",12.7612421907751,12.9122861492603,12.9046404119779,12.9562835059067,12.9956749252726,12.7459429639586,12.8883298860506,13.0099555517816,12.8975081389846,13.0421374453298
"MTPAP",11.0760014331338,11.2573603661497,12.3997401624809,10.8960113903706,12.3656391874484,11.427034809638,12.4713065559233,11.454279933741,12.2137316272329,12.2339698651438
"PPP2CA",14.8083161989891,15.1601371453433,14.3250641206804,14.8083877231378,14.5178199407952,14.2797379249934,14.6622635550004,15.2712010575089,14.3373562928313,14.4043000318238
"C19orf73",7.16249396469704,7.23592403921749,6.92753747343374,7.1246408791184,6.12903687825007,7.23116290091773,6.58930837788393,6.84996185110435,6.52715194620882,6.59316454400054
"TMEM38B",9.15617341704609,10.1004398323188,8.94905353101291,8.75061431424483,9.41850306751155,10.3433448433134,9.91146373730257,9.32351152023538,9.91649907654295,9.94790780294382
"DALRD3",11.3711738973957,10.9459873679553,11.4914981023033,11.3652060106388,11.6656444302025,11.04137383465,11.8337748474463,11.1057529403702,11.6695627567558,12.1009712962678
"SDAD1",12.2905210120408,12.4807644587213,12.341148702953,12.2432998655831,12.3603393557227,11.9235105780948,12.3839335006087,12.9378847272073,12.22214724243,12.213733354086
"MSTO1",9.48936502568472,9.37541954683372,9.12504171004352,9.31049625545799,9.31685528244972,9.01385652131333,9.02387929006112,9.32963721205103,9.04734497991519,9.14491866122228
"ARMC1",12.0645112214824,12.8808494866047,12.8963651175847,12.2200445618954,13.0362053339045,12.3698939766469,13.1262594195685,12.9948610422046,12.9454730758766,13.0354606524895
"DARS2",10.1238861514012,10.3356980163662,10.9953994474422,10.0718998115183,10.8659824671045,10.555844135211,10.8866338711467,10.5002593879734,10.9482042036059,10.8917779335442
"RFWD3",10.1291454290895,10.4408588602248,11.9961027710646,10.2150443372946,11.6103977804043,9.84959790868266,10.8867488463896,10.5472807675221,11.7266936793389,11.622824931355
"PPP2CB",14.3590591591231,14.7903044524629,13.7785457292888,14.2370613716312,14.1564993213741,15.3494417328986,14.3107524360486,14.5039451157687,13.9492368791644,13.9557019839423
"ARHGEF10L",13.0161304202016,12.5526666728929,13.5196787989684,13.1077891453192,13.2477122802941,13.2750303566292,12.9363892036039,12.3411762726832,13.2569837776861,13.0319368026218
"TMEM33",12.5486090615496,13.3212648221099,12.8139438492386,12.7091490593158,12.8813146911673,12.7935409234767,12.9052414976179,13.3789901822868,12.8010592023914,12.7996039728156
